74.138.244.12 syn-074-138-244-012.res.spectrum.com
184.54.201.119 syn-184-054-201-119.res.spectrum.com
184.54.193.61 syn-184-054-193-061.res.spectrum.com
107.128.146.132 107-128-146-132.lightspeed.lsvlky.sbcglobal.net
74.136.13.140 syn-074-136-013-140.res.spectrum.com
184.54.196.232 syn-184-054-196-232.res.spectrum.com
104.3.8.27 104-3-8-27.lightspeed.lsvlky.sbcglobal.net
174.101.211.239 syn-174-101-211-239.res.spectrum.com
74.136.9.27 syn-074-136-009-027.res.spectrum.com
74.136.8.208 syn-074-136-008-208.res.spectrum.com
184.54.205.105 syn-184-054-205-105.res.spectrum.com
99.119.247.57 99-119-247-57.lightspeed.lsvlky.sbcglobal.net
24.26.61.153 syn-024-026-061-153.res.spectrum.com
184.54.219.158 syn-184-054-219-158.res.spectrum.com
172.3.207.169 172-3-207-169.lightspeed.lsvlky.sbcglobal.net
96.28.37.59 syn-096-028-037-059.res.spectrum.com
98.27.235.24 syn-098-027-235-024.res.spectrum.com
74.138.226.6 syn-074-138-226-006.res.spectrum.com
99.119.246.221 99-119-246-221.lightspeed.lsvlky.sbcglobal.net
74.138.239.40 syn-074-138-239-040.res.spectrum.com
107.138.161.50 107-138-161-50.lightspeed.lsvlky.sbcglobal.net
74.138.229.81 syn-074-138-229-081.res.spectrum.com
184.54.206.10 syn-184-054-206-010.res.spectrum.com
107.133.214.214 107-133-214-214.lightspeed.lsvlky.sbcglobal.net
74.129.246.16 syn-074-129-246-016.res.spectrum.com
74.138.228.176 syn-074-138-228-176.res.spectrum.com
104.3.8.164 104-3-8-164.lightspeed.lsvlky.sbcglobal.net
104.52.15.216 104-52-15-216.lightspeed.lsvlky.sbcglobal.net
76.190.93.58 syn-076-190-093-058.biz.spectrum.com
98.102.58.109 syn-098-102-058-109.biz.spectrum.com
98.27.234.125 syn-098-027-234-125.res.spectrum.com
184.54.218.138 syn-184-054-218-138.res.spectrum.com
99.119.247.215 99-119-247-215.lightspeed.lsvlky.sbcglobal.net
74.138.228.54 syn-074-138-228-054.res.spectrum.com
184.54.195.129 syn-184-054-195-129.res.spectrum.com
184.54.192.63 syn-184-054-192-063.res.spectrum.com
74.129.255.29 syn-074-129-255-029.res.spectrum.com
184.54.207.110 syn-184-054-207-110.res.spectrum.com
108.255.16.233 108.255.16.233
74.138.236.83 syn-074-138-236-083.res.spectrum.com
108.255.16.93 108.255.16.93
99.119.244.56 99-119-244-56.lightspeed.lsvlky.sbcglobal.net
76.182.151.123 syn-076-182-151-123.res.spectrum.com
76.41.229.46 syn-076-041-229-046.res.spectrum.com
12.207.140.69 12.207.140.69
184.54.207.199 syn-184-054-207-199.res.spectrum.com
162.234.192.178 162-234-192-178.lightspeed.lsvlky.sbcglobal.net
174.101.208.87 syn-174-101-208-087.res.spectrum.com
70.228.93.242 70-228-93-242.lightspeed.lsvlky.sbcglobal.net
76.35.184.83 syn-076-035-184-083.res.spectrum.com
74.138.227.3 syn-074-138-227-003.res.spectrum.com
76.35.184.94 syn-076-035-184-094.res.spectrum.com
74.129.252.94 syn-074-129-252-094.res.spectrum.com
74.138.250.193 syn-074-138-250-193.res.spectrum.com
74.138.239.150 syn-074-138-239-150.res.spectrum.com
172.3.205.254 172-3-205-254.lightspeed.lsvlky.sbcglobal.net
104.52.15.140 104-52-15-140.lightspeed.lsvlky.sbcglobal.net
99.119.245.233 99-119-245-233.lightspeed.lsvlky.sbcglobal.net
98.27.234.100 syn-098-027-234-100.res.spectrum.com
172.3.207.155 172-3-207-155.lightspeed.lsvlky.sbcglobal.net
184.54.213.240 syn-184-054-213-240.res.spectrum.com
107.138.160.2 107-138-160-2.lightspeed.lsvlky.sbcglobal.net
98.27.233.255 syn-098-027-233-255.res.spectrum.com
107.133.217.230 107-133-217-230.lightspeed.rcsntx.sbcglobal.net
172.3.205.122 172-3-205-122.lightspeed.lsvlky.sbcglobal.net
12.244.135.24 12.244.135.24
174.101.212.187 syn-174-101-212-187.res.spectrum.com
184.54.199.12 syn-184-054-199-012.res.spectrum.com
74.129.244.199 syn-074-129-244-199.res.spectrum.com
74.129.252.155 syn-074-129-252-155.res.spectrum.com
184.54.213.204 syn-184-054-213-204.res.spectrum.com
74.136.6.161 syn-074-136-006-161.res.spectrum.com
74.129.254.40 syn-074-129-254-040.res.spectrum.com
74.138.238.218 syn-074-138-238-218.res.spectrum.com
64.183.148.121 syn-064-183-148-121.biz.spectrum.com
172.3.205.62 172-3-205-62.lightspeed.lsvlky.sbcglobal.net
96.28.34.197 syn-096-028-034-197.res.spectrum.com
98.72.4.39 adsl-098-072-004-039.sip.mia.bellsouth.net
184.54.216.129 syn-184-054-216-129.res.spectrum.com
108.227.157.191 108-227-157-191.lightspeed.lsvlky.sbcglobal.net
76.177.163.0 syn-076-177-163-000.res.spectrum.com
174.101.215.180 syn-174-101-215-180.res.spectrum.com
47.231.84.92 syn-047-231-084-092.res.spectrum.com
108.227.156.234 108-227-156-234.lightspeed.lsvlky.sbcglobal.net
108.239.45.66 108-239-45-66.lightspeed.lsvlky.sbcglobal.net
74.138.233.204 syn-074-138-233-204.res.spectrum.com
98.72.4.55 adsl-098-072-004-055.sip.mia.bellsouth.net
98.72.6.15 adsl-098-072-006-015.sip.mia.bellsouth.net
74.138.245.4 syn-074-138-245-004.res.spectrum.com
74.129.254.227 syn-074-129-254-227.res.spectrum.com
174.101.210.213 syn-174-101-210-213.res.spectrum.com
70.228.91.11 adsl-70-228-91-11.dsl.akrnoh.ameritech.net
107.128.146.121 107-128-146-121.lightspeed.lsvlky.sbcglobal.net
74.138.254.8 syn-074-138-254-008.res.spectrum.com
74.136.10.178 syn-074-136-010-178.res.spectrum.com
107.138.160.183 107-138-160-183.lightspeed.lsvlky.sbcglobal.net
184.54.212.181 syn-184-054-212-181.res.spectrum.com
107.133.216.152 107-133-216-152.lightspeed.rcsntx.sbcglobal.net
74.129.248.10 syn-074-129-248-010.res.spectrum.com
104.3.9.189 104-3-9-189.lightspeed.lsvlky.sbcglobal.net
12.207.134.93 12.207.134.93
172.3.201.188 172-3-201-188.lightspeed.lsvlky.sbcglobal.net
74.138.250.214 syn-074-138-250-214.res.spectrum.com
108.255.21.243 108-255-21-243.lightspeed.lsvlky.sbcglobal.net
107.133.214.247 107-133-214-247.lightspeed.lsvlky.sbcglobal.net
12.207.133.207 12.207.133.207
74.136.10.118 syn-074-136-010-118.res.spectrum.com
74.138.227.139 syn-074-138-227-139.res.spectrum.com
184.54.219.44 syn-184-054-219-044.res.spectrum.com
184.54.218.49 syn-184-054-218-049.res.spectrum.com
108.255.16.53 108.255.16.53
104.52.15.16 104-52-15-16.lightspeed.lsvlky.sbcglobal.net
184.54.192.139 syn-184-054-192-139.res.spectrum.com
74.138.233.36 syn-074-138-233-036.res.spectrum.com
74.138.253.172 syn-074-138-253-172.res.spectrum.com
172.3.203.75 172-3-203-75.lightspeed.lsvlky.sbcglobal.net
74.138.242.187 syn-074-138-242-187.res.spectrum.com
74.182.167.149 adsl-074-182-167-149.sip.hsv.bellsouth.net
12.207.133.202 12.207.133.202
74.129.246.198 syn-074-129-246-198.res.spectrum.com
98.72.6.240 adsl-098-072-006-240.sip.mia.bellsouth.net
107.133.213.79 107-133-213-79.lightspeed.lsvlky.sbcglobal.net
74.138.244.199 syn-074-138-244-199.res.spectrum.com
104.52.12.232 104-52-12-232.lightspeed.lsvlky.sbcglobal.net
12.207.141.4 12.207.141.4
174.101.211.249 syn-174-101-211-249.res.spectrum.com
74.138.244.237 syn-074-138-244-237.res.spectrum.com
184.54.215.101 syn-184-054-215-101.res.spectrum.com
174.101.211.113 syn-174-101-211-113.res.spectrum.com
184.54.192.216 syn-184-054-192-216.res.spectrum.com
172.3.205.36 172-3-205-36.lightspeed.lsvlky.sbcglobal.net
74.138.246.185 syn-074-138-246-185.res.spectrum.com
98.72.4.102 adsl-098-072-004-102.sip.mia.bellsouth.net
74.129.252.15 syn-074-129-252-015.res.spectrum.com
107.133.213.102 107-133-213-102.lightspeed.lsvlky.sbcglobal.net
74.129.252.142 syn-074-129-252-142.res.spectrum.com
174.101.210.37 syn-174-101-210-037.res.spectrum.com
104.52.15.2 104-52-15-2.lightspeed.lsvlky.sbcglobal.net
74.138.240.233 syn-074-138-240-233.res.spectrum.com
104.3.9.23 104-3-9-23.lightspeed.lsvlky.sbcglobal.net
74.138.255.105 syn-074-138-255-105.res.spectrum.com
162.234.193.73 162-234-193-73.lightspeed.lsvlky.sbcglobal.net
12.18.152.52 12.18.152.52
98.72.5.183 adsl-098-072-005-183.sip.mia.bellsouth.net
70.228.93.78 70-228-93-78.lightspeed.lsvlky.sbcglobal.net
74.136.0.6 syn-074-136-000-006.res.spectrum.com
74.129.247.238 syn-074-129-247-238.res.spectrum.com
107.133.219.15 107-133-219-15.lightspeed.rcsntx.sbcglobal.net
76.177.161.157 syn-076-177-161-157.res.spectrum.com
184.54.214.65 syn-184-054-214-065.res.spectrum.com
184.54.209.35 syn-184-054-209-035.res.spectrum.com
76.35.185.102 syn-076-035-185-102.res.spectrum.com
107.128.146.28 107-128-146-28.lightspeed.lsvlky.sbcglobal.net
107.133.219.224 107-133-219-224.lightspeed.rcsntx.sbcglobal.net
74.138.224.181 syn-074-138-224-181.res.spectrum.com
104.3.8.233 104-3-8-233.lightspeed.lsvlky.sbcglobal.net
74.138.241.72 syn-074-138-241-072.res.spectrum.com
47.231.84.65 syn-047-231-084-065.res.spectrum.com
96.28.36.83 syn-096-028-036-083.res.spectrum.com
104.3.8.137 104-3-8-137.lightspeed.lsvlky.sbcglobal.net
99.119.246.108 99-119-246-108.lightspeed.lsvlky.sbcglobal.net
76.177.166.61 syn-076-177-166-061.res.spectrum.com
74.136.10.48 syn-074-136-010-048.res.spectrum.com
184.54.206.42 syn-184-054-206-042.res.spectrum.com
107.138.160.58 107-138-160-58.lightspeed.lsvlky.sbcglobal.net
74.129.246.95 syn-074-129-246-095.res.spectrum.com
74.129.244.23 syn-074-129-244-023.res.spectrum.com
98.72.0.127 adsl-098-072-000-127.sip.mia.bellsouth.net
76.177.166.178 syn-076-177-166-178.res.spectrum.com
184.54.201.43 syn-184-054-201-043.res.spectrum.com
74.175.224.203 74.175.224.203
184.54.217.224 syn-184-054-217-224.res.spectrum.com
162.234.193.224 162-234-193-224.lightspeed.lsvlky.sbcglobal.net
184.54.202.23 syn-184-054-202-023.res.spectrum.com
96.28.38.120 syn-096-028-038-120.res.spectrum.com
96.28.34.10 syn-096-028-034-010.res.spectrum.com
74.129.252.247 syn-074-129-252-247.res.spectrum.com
74.138.247.48 syn-074-138-247-048.res.spectrum.com
74.138.253.107 syn-074-138-253-107.res.spectrum.com
107.128.147.18 107-128-147-18.lightspeed.lsvlky.sbcglobal.net
74.129.241.17 syn-074-129-241-017.res.spectrum.com
74.138.229.55 syn-074-138-229-055.res.spectrum.com
74.138.229.205 syn-074-138-229-205.res.spectrum.com
74.129.251.181 syn-074-129-251-181.res.spectrum.com
74.138.253.12 syn-074-138-253-012.res.spectrum.com
98.72.5.33 adsl-098-072-005-033.sip.mia.bellsouth.net
76.40.83.249 syn-076-040-083-249.res.spectrum.com
96.28.38.222 syn-096-028-038-222.res.spectrum.com
107.138.163.5 107-138-163-5.lightspeed.lsvlky.sbcglobal.net
74.136.8.220 syn-074-136-008-220.res.spectrum.com
104.52.15.84 104-52-15-84.lightspeed.lsvlky.sbcglobal.net
12.152.211.146 12.152.211.146
184.54.192.228 syn-184-054-192-228.res.spectrum.com
74.138.230.203 syn-074-138-230-203.res.spectrum.com
108.239.44.131 108-239-44-131.lightspeed.lsvlky.sbcglobal.net
74.138.245.222 syn-074-138-245-222.res.spectrum.com
76.177.164.59 syn-076-177-164-059.res.spectrum.com
98.27.232.220 syn-098-027-232-220.res.spectrum.com
108.239.44.97 108-239-44-97.lightspeed.lsvlky.sbcglobal.net
108.255.17.169 108.255.17.169
74.138.255.251 syn-074-138-255-251.res.spectrum.com
104.3.9.29 104-3-9-29.lightspeed.lsvlky.sbcglobal.net
184.54.202.185 syn-184-054-202-185.res.spectrum.com
74.138.255.125 syn-074-138-255-125.res.spectrum.com
184.54.216.45 syn-184-054-216-045.res.spectrum.com
64.183.148.118 syn-064-183-148-118.biz.spectrum.com
12.207.140.198 12.207.140.198
107.133.212.27 107-133-212-27.lightspeed.lsvlky.sbcglobal.net
108.227.157.109 108-227-157-109.lightspeed.lsvlky.sbcglobal.net
184.54.204.141 syn-184-054-204-141.res.spectrum.com
47.231.87.96 syn-047-231-087-096.res.spectrum.com
184.54.221.125 syn-184-054-221-125.res.spectrum.com
108.255.20.34 108-255-20-34.lightspeed.lsvlky.sbcglobal.net
74.138.239.117 syn-074-138-239-117.res.spectrum.com
173.197.238.190 syn-173-197-238-190.biz.spectrum.com
74.136.13.107 syn-074-136-013-107.res.spectrum.com
172.3.205.25 172-3-205-25.lightspeed.lsvlky.sbcglobal.net
96.28.39.240 syn-096-028-039-240.res.spectrum.com
74.138.246.61 syn-074-138-246-061.res.spectrum.com
184.54.209.132 syn-184-054-209-132.res.spectrum.com
104.52.12.15 104-52-12-15.lightspeed.lsvlky.sbcglobal.net
70.228.92.203 70-228-92-203.lightspeed.lsvlky.sbcglobal.net
70.228.91.37 adsl-70-228-91-37.dsl.akrnoh.ameritech.net
74.136.13.1 syn-074-136-013-001.res.spectrum.com
24.26.60.130 syn-024-026-060-130.res.spectrum.com
76.41.229.9 syn-076-041-229-009.res.spectrum.com
74.138.253.201 syn-074-138-253-201.res.spectrum.com
76.177.163.197 syn-076-177-163-197.res.spectrum.com
107.138.162.35 107-138-162-35.lightspeed.lsvlky.sbcglobal.net
74.136.3.195 syn-074-136-003-195.res.spectrum.com
174.101.209.220 syn-174-101-209-220.res.spectrum.com
108.255.20.233 108-255-20-233.lightspeed.lsvlky.sbcglobal.net
107.133.215.254 107-133-215-254.lightspeed.lsvlky.sbcglobal.net
184.54.193.48 syn-184-054-193-048.res.spectrum.com
12.207.140.155 12.207.140.155
74.129.249.204 syn-074-129-249-204.res.spectrum.com
184.54.193.18 syn-184-054-193-018.res.spectrum.com
184.54.214.172 syn-184-054-214-172.res.spectrum.com
74.136.12.145 syn-074-136-012-145.res.spectrum.com
98.27.233.195 syn-098-027-233-195.res.spectrum.com
74.129.252.211 syn-074-129-252-211.res.spectrum.com
74.129.240.49 syn-074-129-240-049.res.spectrum.com
184.54.203.243 syn-184-054-203-243.res.spectrum.com
74.138.224.145 syn-074-138-224-145.res.spectrum.com
74.138.242.49 syn-074-138-242-049.res.spectrum.com
107.128.146.47 107-128-146-47.lightspeed.lsvlky.sbcglobal.net
74.136.10.248 syn-074-136-010-248.res.spectrum.com
96.28.37.98 syn-096-028-037-098.res.spectrum.com
70.228.90.208 adsl-70-228-90-208.dsl.akrnoh.ameritech.net
70.228.91.138 adsl-70-228-91-138.dsl.akrnoh.ameritech.net
76.182.151.109 syn-076-182-151-109.res.spectrum.com
104.52.12.92 104-52-12-92.lightspeed.lsvlky.sbcglobal.net
74.182.80.131 adsl-074-182-080-131.sip.mob.bellsouth.net
74.129.242.167 syn-074-129-242-167.res.spectrum.com
172.3.200.176 172-3-200-176.lightspeed.lsvlky.sbcglobal.net
108.255.17.243 108.255.17.243
74.236.229.61 adsl-074-236-229-061.sip.sdf.bellsouth.net
70.228.92.236 70-228-92-236.lightspeed.lsvlky.sbcglobal.net
24.26.63.61 syn-024-026-063-061.res.spectrum.com
174.101.208.172 syn-174-101-208-172.res.spectrum.com
96.28.34.145 syn-096-028-034-145.res.spectrum.com
104.3.8.63 104-3-8-63.lightspeed.lsvlky.sbcglobal.net
104.3.9.129 104-3-9-129.lightspeed.lsvlky.sbcglobal.net
74.138.244.190 syn-074-138-244-190.res.spectrum.com
74.138.252.134 syn-074-138-252-134.res.spectrum.com
96.28.38.235 syn-096-028-038-235.res.spectrum.com
24.26.60.172 syn-024-026-060-172.res.spectrum.com
96.28.39.131 syn-096-028-039-131.res.spectrum.com
108.239.44.153 108-239-44-153.lightspeed.lsvlky.sbcglobal.net
74.136.13.133 syn-074-136-013-133.res.spectrum.com
107.133.217.136 107-133-217-136.lightspeed.rcsntx.sbcglobal.net
98.27.234.234 syn-098-027-234-234.res.spectrum.com
74.138.224.190 syn-074-138-224-190.res.spectrum.com
184.54.202.210 syn-184-054-202-210.res.spectrum.com
74.143.229.221 syn-074-143-229-221.biz.spectrum.com
24.142.149.133 syn-024-142-149-133.biz.spectrum.com
74.129.246.21 syn-074-129-246-021.res.spectrum.com
172.3.201.173 172-3-201-173.lightspeed.lsvlky.sbcglobal.net
184.54.204.17 syn-184-054-204-017.res.spectrum.com
74.138.251.65 syn-074-138-251-065.res.spectrum.com
107.133.219.205 107-133-219-205.lightspeed.rcsntx.sbcglobal.net
24.26.63.4 syn-024-026-063-004.res.spectrum.com
76.177.165.71 syn-076-177-165-071.res.spectrum.com
98.72.7.99 adsl-098-072-007-099.sip.mia.bellsouth.net
76.177.163.236 syn-076-177-163-236.res.spectrum.com
74.138.239.7 syn-074-138-239-007.res.spectrum.com
74.129.249.64 syn-074-129-249-064.res.spectrum.com
96.28.37.71 syn-096-028-037-071.res.spectrum.com
12.207.142.221 12.207.142.221
24.26.62.73 syn-024-026-062-073.res.spectrum.com
184.54.201.193 syn-184-054-201-193.res.spectrum.com
24.26.60.125 syn-024-026-060-125.res.spectrum.com
74.138.230.195 syn-074-138-230-195.res.spectrum.com
74.138.248.160 syn-074-138-248-160.res.spectrum.com
96.28.33.44 syn-096-028-033-044.res.spectrum.com
74.138.232.40 syn-074-138-232-040.res.spectrum.com
98.72.5.184 adsl-098-072-005-184.sip.mia.bellsouth.net
184.54.204.248 syn-184-054-204-248.res.spectrum.com
74.136.6.160 syn-074-136-006-160.res.spectrum.com
184.54.207.104 syn-184-054-207-104.res.spectrum.com
74.138.233.114 syn-074-138-233-114.res.spectrum.com
12.207.133.66 12.207.133.66
74.175.246.35 74.175.246.35
74.138.235.207 syn-074-138-235-207.res.spectrum.com
74.136.15.209 syn-074-136-015-209.res.spectrum.com
184.54.198.176 syn-184-054-198-176.res.spectrum.com
98.27.235.50 syn-098-027-235-050.res.spectrum.com
162.234.193.117 162-234-193-117.lightspeed.lsvlky.sbcglobal.net
74.136.2.190 syn-074-136-002-190.res.spectrum.com
76.41.229.162 syn-076-041-229-162.res.spectrum.com
98.72.0.248 adsl-098-072-000-248.sip.mia.bellsouth.net
162.234.193.126 162-234-193-126.lightspeed.lsvlky.sbcglobal.net
74.129.246.71 syn-074-129-246-071.res.spectrum.com
74.138.226.131 syn-074-138-226-131.res.spectrum.com
